scenario_name,segment,product,industry,facility_count,borrower_count,base_ead,stressed_ead,base_expected_loss,stressed_expected_loss,incremental_expected_loss,base_pd_weighted,stressed_pd_weighted,base_lgd_weighted,stressed_lgd_weighted,expected_loss_uplift_pct
Base,Agribusiness,Working Capital Line,Agriculture,1,1,540000.0,540000.0,4519.8,4519.8,0.0,0.027,0.027,0.31,0.31,0.0
Base,Commercial,Equipment Finance,Manufacturing,1,1,500000.0,500000.0,3570.000000000001,3570.000000000001,0.0,0.021,0.021,0.34,0.34,0.0
Base,Commercial,Invoice Finance,Wholesale Trade,1,1,430000.0,430000.0,7095.0,7095.0,0.0,0.03,0.03,0.55,0.55,0.0
Base,Commercial,Term Loan,Healthcare and Social Assistance,1,1,640000.0,640000.0,2457.6,2457.6,0.0,0.012,0.012,0.32,0.32,0.0
Base,Commercial Property,Commercial Property Loan,Construction,1,1,970000.0,970000.0,8439.0,8439.0,0.0,0.029,0.029,0.3,0.3,0.0
Base,Commercial Property,Commercial Property Loan,Property Services,1,1,1820000.0,1820000.0,7207.2,7207.2,0.0,0.018,0.018,0.22,0.22,0.0
Base,Property Investor,Residential Investment Loan,Property Services,1,1,1180000.0,1180000.0,2973.6,2973.6,0.0,0.014,0.014,0.18,0.18,0.0
Base,SME,Commercial Credit Card,Accommodation and Food Services,1,1,125000.0,125000.0,4218.75,4218.75,0.0,0.045,0.045,0.75,0.75,0.0
Base,SME,Overdraft,Retail Trade,1,1,420000.0,420000.0,5107.200000000001,5107.200000000001,0.0,0.032,0.032,0.38,0.38,0.0
Base,SME,Overdraft,Transport Postal and Warehousing,1,1,330000.0,330000.0,5544.000000000001,5544.000000000001,0.0,0.035,0.035,0.48,0.48,0.0
Base,SME,Term Loan,Construction,1,1,760000.0,760000.0,5107.200000000001,5107.200000000001,0.0,0.024,0.024,0.28,0.28,0.0
Base,SME,Term Loan,Professional Services,1,1,405000.0,405000.0,1879.2,1879.2,0.0,0.016,0.016,0.29,0.29,0.0
